CustomerID,Age,Gender,Years_as_Customer,PreferredLoginDevice,PreferredPaymentMode,Total_Spend,Average_Transaction_Amount,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,Num_of_Purchases,NumberOfAddress,Num_of_Returns,Satisfaction_Score,Num_of_Support_Contacts,Complain,Last_Purchase_Days_Ago,CashbackAmount,Email_Opt_In,Promotion_Response,Churn
50001,62,Female,5,Mobile Phone,Debit Card,5892.58,453.8,3,3,Laptop & Accessory,22,9,2,3,0,1,129,160,TRUE,Responded,1
50002,65,Male,13,Phone,UPI,9025.47,22.9,3,4,Mobile,77,7,2,3,2,1,227,121,FALSE,Responded,1
50003,30,Male,13,Phone,Debit Card,618.83,50.53,2,4,Mobile,71,6,5,2,2,1,283,120,FALSE,Responded,1
50004,21,Male,3,Phone,Debit Card,9110.3,411.83,2,4,Laptop & Accessory,33,8,5,5,3,0,226,134,TRUE,Ignored,1
50005,21,Male,15,Phone,CC,5390.88,101.19,,3,Mobile,43,3,3,5,0,0,242,130,FALSE,Unsubscribed,1
50006,57,Female,19,Computer,Debit Card,255.19,417.78,3,5,Mobile Phone,85,2,5,4,1,1,130,139,FALSE,Unsubscribed,1
50007,27,Male,3,Phone,Cash on Delivery,3512.55,316.18,2,3,Laptop & Accessory,77,4,0,1,3,0,61,121,TRUE,Unsubscribed,1
50008,37,Male,4,Phone,CC,7270.9,63.61,3,3,Mobile,87,3,3,3,4,1,224,123,FALSE,Ignored,1
50009,39,Male,1,Phone,E wallet,4935.49,173.8,,4,Mobile,21,2,9,4,2,1,126,127,TRUE,Responded,1
50010,68,Male,17,Phone,Debit Card,9803.57,481.18,2,5,Mobile,34,2,6,2,1,0,171,123,TRUE,Unsubscribed,1
50011,54,Female,15,Mobile Phone,Cash on Delivery,4283.84,96.55,2,3,Others,33,2,9,2,1,0,92,295,TRUE,Responded,1
50012,41,Male,4,Mobile Phone,Debit Card,3333.69,212.58,3,4,Fashion,10,10,0,2,0,1,213,154,FALSE,Responded,1
50013,24,Male,1,Phone,COD,8234.55,160.58,2,3,Mobile,60,2,2,5,1,1,276,134,FALSE,Ignored,1
50014,42,Male,12,Phone,CC,5524.28,259.81,3,4,Mobile,4,1,5,2,4,1,212,134,FALSE,Ignored,1
50015,42,Male,17,Mobile Phone,Credit Card,6855.03,222.85,3,4,Fashion,64,2,6,1,0,0,125,196,FALSE,Ignored,1
50016,30,Male,9,Phone,UPI,8076.45,466.61,3,3,Mobile,63,5,5,3,0,1,304,121,FALSE,Unsubscribed,1
50017,19,Female,10,Computer,Debit Card,6747.13,414.8,,4,Mobile,9,2,7,2,3,1,274,129,TRUE,Responded,1
50018,56,Male,3,Mobile Phone,E wallet,4281.83,294.39,2,4,Laptop & Accessory,29,2,7,3,0,1,197,157,TRUE,Unsubscribed,1
50019,57,Male,15,Computer,Debit Card,1335.48,173.58,3,5,Laptop & Accessory,14,2,7,4,3,1,4,161,FALSE,Responded,1
50020,41,Female,11,Mobile Phone,Debit Card,5844.46,378.05,3,3,Mobile Phone,88,10,8,5,4,1,57,150,TRUE,Unsubscribed,1
50021,64,Male,5,Mobile Phone,Debit Card,8984.59,298.9,3,5,Laptop & Accessory,72,5,1,2,1,1,323,162,TRUE,Responded,1
50022,42,Female,10,Mobile Phone,Credit Card,4247.04,89.61,3,3,Fashion,13,2,0,1,4,0,199,203,FALSE,Responded,1
50023,35,Male,14,Mobile Phone,E wallet,9116.18,162.9,2,3,Mobile Phone,3,2,8,2,0,1,193,117,TRUE,Responded,1
50024,55,Female,12,Phone,Debit Card,5084.93,288.48,3,5,Laptop & Accessory,78,4,2,2,1,1,323,146,FALSE,Unsubscribed,1
50025,43,Male,9,Computer,Debit Card,6246.33,352.98,2,5,Fashion,24,3,7,4,1,0,119,207,TRUE,Unsubscribed,1
50026,31,Female,6,Phone,Credit Card,8346.59,167.05,2,3,Mobile Phone,60,8,5,1,2,0,35,142,TRUE,Unsubscribed,1
50027,26,Male,9,Mobile Phone,E wallet,5689.51,456.01,3,3,Fashion,74,2,2,2,4,0,352,173,TRUE,Unsubscribed,0
50028,27,Male,3,Phone,E wallet,1000.6,210.02,2,3,Laptop & Accessory,80,3,8,1,3,1,317,123,FALSE,Unsubscribed,0
50029,38,Male,13,Phone,Debit Card,9811.7,83.09,2,3,Laptop & Accessory,12,9,9,5,4,0,128,123,FALSE,Ignored,0
50030,69,Female,7,Computer,E wallet,2533.91,114.05,2,3,Fashion,10,2,6,1,4,0,31,190,FALSE,Unsubscribed,0
50031,34,Male,17,Computer,COD,7134,107.41,2,3,Laptop & Accessory,63,2,7,4,1,0,274,143,FALSE,Ignored,0
50032,69,Male,18,Mobile Phone,Credit Card,5100.62,124.56,2,4,Laptop & Accessory,66,3,5,1,4,0,325,161,TRUE,Responded,0
50033,23,Female,4,Phone,CC,4839.85,198,3,4,Mobile,91,5,1,1,4,1,193,133,FALSE,Ignored,0
50034,33,Male,5,Mobile Phone,E wallet,2515.01,237.82,3,4,Fashion,12,8,5,5,4,0,253,209,TRUE,Unsubscribed,0
50035,65,Female,11,Computer,E wallet,7249.29,275.72,3,3,Mobile,96,7,4,5,2,0,196,122,FALSE,Responded,0
50036,18,Male,18,Phone,CC,1216.6,469.63,3,3,Mobile,49,2,2,3,1,0,188,123,FALSE,Unsubscribed,0
50037,36,Male,19,Computer,CC,9905.49,289.28,2,3,Mobile,59,7,2,1,3,0,102,120,FALSE,Responded,0
50038,53,Male,5,Phone,CC,8469.2,98.03,,3,Mobile,76,2,2,2,0,0,216,127,TRUE,Ignored,0
50039,42,Male,16,Mobile Phone,Debit Card,5391.64,233.12,2,2,Fashion,2,4,6,5,1,1,260,194,TRUE,Unsubscribed,0
50040,67,Male,18,Computer,CC,4303.07,92.72,3,4,Mobile,73,2,1,5,2,1,360,126,TRUE,Responded,0
50041,69,Female,14,Mobile Phone,Debit Card,2936,456.43,2,3,Others,26,4,3,4,3,0,263,299,TRUE,Unsubscribed,0
50042,47,Male,17,Phone,Debit Card,5065.76,92.5,2,3,Mobile,31,5,9,1,0,0,202,125,TRUE,Responded,0
50043,37,Female,9,Mobile Phone,Debit Card,8806.23,309.17,2,3,Fashion,34,3,6,1,1,0,273,194,FALSE,Responded,0
50044,37,Female,14,Mobile Phone,Debit Card,2822.56,293.2,2,4,Laptop & Accessory,88,5,7,1,0,0,121,187,FALSE,Ignored,0
50045,32,Male,12,Phone,Debit Card,5055.32,315.34,,3,Mobile,21,4,8,4,2,0,276,130,FALSE,Unsubscribed,0
50046,57,Male,3,Phone,COD,2422.04,38.72,,3,Mobile,50,1,3,2,4,1,84,131,FALSE,Ignored,0
50047,50,Female,18,Computer,COD,3437.78,151.77,3,5,Mobile,9,1,1,2,0,0,277,123,TRUE,Responded,1
50048,19,Male,7,Computer,CC,1983.58,183.3,1,3,Mobile,65,5,8,2,1,0,234,121,FALSE,Responded,0
50049,27,Male,3,Computer,CC,9906.34,462.35,,3,Laptop & Accessory,35,2,3,3,2,0,322,131,TRUE,Responded,0
50050,50,Female,12,Mobile Phone,Debit Card,5757.82,308.21,1,3,Laptop & Accessory,31,5,7,4,2,1,287,150,FALSE,Unsubscribed,0
50051,49,Female,15,Phone,Debit Card,7354.87,405.83,3,3,Mobile Phone,85,5,5,4,2,1,352,143,TRUE,Responded,0
50052,28,Male,9,Phone,Debit Card,1072.67,253.05,2,3,Mobile,38,1,4,3,4,0,168,125,FALSE,Ignored,0
50053,41,Male,18,Mobile Phone,Debit Card,3724.56,204.68,2,4,Mobile Phone,23,2,6,1,4,0,86,111,TRUE,Ignored,1
50054,53,Female,8,Mobile Phone,E wallet,8937.13,246.96,3,3,Fashion,62,2,4,2,1,0,110,205,FALSE,Unsubscribed,0
50055,29,Female,10,Phone,Debit Card,935.94,395.71,3,3,Mobile,43,2,3,5,2,0,37,123,FALSE,Responded,0
50056,68,Female,12,Phone,Credit Card,1738.28,54.59,3,3,Mobile Phone,49,9,5,2,3,1,130,139,TRUE,Responded,0
50057,46,Female,5,Phone,CC,6291.63,477.3,3,3,Mobile,87,3,7,4,2,0,4,123,TRUE,Responded,0
50058,52,Female,11,Phone,E wallet,6265.61,305.74,,3,Mobile,21,2,2,3,1,1,171,131,TRUE,Ignored,1
50059,18,Male,3,Phone,Credit Card,8398.45,101.25,2,4,Mobile Phone,44,3,8,3,2,0,21,137,FALSE,Unsubscribed,0
50060,18,Female,8,Phone,Credit Card,9361.38,31.44,2,2,Laptop & Accessory,8,2,5,4,2,0,108,145,FALSE,Ignored,0
50061,54,Female,8,Phone,CC,1505.67,72.76,,3,Mobile,66,2,7,4,3,0,86,128,TRUE,Responded,0
50062,23,Female,1,Mobile Phone,Credit Card,2667.8,62.48,2,3,Others,46,2,3,3,1,0,209,290,TRUE,Unsubscribed,0
50063,56,Male,5,Mobile Phone,Credit Card,4331.87,207.3,3,2,Others,31,9,9,4,2,0,251,287,FALSE,Ignored,0
50064,58,Male,11,Computer,Debit Card,108.94,349.08,2,4,Laptop & Accessory,13,2,0,2,4,0,65,195,TRUE,Responded,0
50065,35,Female,9,Mobile Phone,Credit Card,791.16,132.59,3,3,Grocery,70,4,2,3,0,0,137,237,TRUE,Unsubscribed,0
50066,33,Male,13,Mobile Phone,Debit Card,2342.26,198.67,3,4,Others,57,1,8,3,3,0,105,300,TRUE,Ignored,0
50067,22,Female,7,Phone,CC,4862.91,286.46,2,3,Mobile,22,2,5,5,3,0,261,123,TRUE,Responded,0
50068,59,Male,3,Mobile Phone,Debit Card,2590.08,408.6,2,4,Laptop & Accessory,70,4,1,2,1,1,4,159,FALSE,Unsubscribed,1
50069,60,Male,12,Computer,CC,8779.15,307.76,2,2,Mobile,17,5,6,2,4,0,323,121,FALSE,Ignored,0
50070,49,Male,13,Computer,Credit Card,3310.3,100.75,3,4,Grocery,44,10,8,1,4,0,259,268,FALSE,Responded,0
50071,19,Male,16,Phone,Debit Card,9253.77,129.65,3,2,Mobile Phone,24,2,1,5,4,1,262,136,FALSE,Unsubscribed,0
50072,19,Female,9,Computer,Credit Card,9750.39,191.99,2,3,Laptop & Accessory,41,6,3,4,1,0,307,144,FALSE,Responded,0
